Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2023,ANTIOQUIA,MARINILLA,AGUACATE HASS,283.0,303.0,2830.0,10.0,PERMANENTE
2020,ANTIOQUIA,MARINILLA,AGUACATE HASS,220.7,235.7,1765.6,8.0,PERMANENTE
2022,ANTIOQUIA,MEDELLIN,AGUACATE HASS,15.0,15.0,90.0,6.0,PERMANENTE
2020,ANTIOQUIA,MEDELLIN,AGUACATE HASS,15.48,15.48,92.88,6.0,PERMANENTE
2021,ANTIOQUIA,MEDELLIN,AGUACATE HASS,15.0,15.0,90.0,6.0,PERMANENTE
2024,ANTIOQUIA,MEDELLIN,AGUACATE HASS,10.0,10.0,120.0,12.0,PERMANENTE
2023,ANTIOQUIA,MEDELLIN,AGUACATE HASS,11.0,11.0,77.0,7.0,PERMANENTE
2024,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,95.0,186.0,855.0,9.0,PERMANENTE
2023,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,95.0,186.0,855.0,9.0,PERMANENTE
2022,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,95.0,101.0,760.0,8.0,PERMANENTE
2021,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,87.0,95.0,696.0,8.0,PERMANENTE
2020,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,86.0,88.0,688.0,8.0,PERMANENTE
2024,ANTIOQUIA,NARIÑO,AGUACATE HASS,27.0,32.0,540.0,20.0,PERMANENTE
2022,ANTIOQUIA,NARIÑO,AGUACATE HASS,26.0,29.0,208.0,8.0,PERMANENTE
2021,ANTIOQUIA,NARIÑO,AGUACATE HASS,19.0,26.0,134.9,7.1,PERMANENTE
2020,ANTIOQUIA,NARIÑO,AGUACATE HASS,4.0,19.0,28.0,7.0,PERMANENTE
2023,ANTIOQUIA,NARIÑO,AGUACATE HASS,26.0,29.0,520.0,20.0,PERMANENTE
2023,ANTIOQUIA,PEÑOL,AGUACATE HASS,484.31,491.31,5811.72,12.0,PERMANENTE
2022,ANTIOQUIA,PEÑOL,AGUACATE HASS,505.31,510.31,6063.72,12.0,PERMANENTE
2021,ANTIOQUIA,PEÑOL,AGUACATE HASS,482.31,507.31,5787.72,12.0,PERMANENTE
2020,ANTIOQUIA,PEÑOL,AGUACATE HASS,487.31,502.31,5847.72,12.0,PERMANENTE
2024,ANTIOQUIA,PEÑOL,AGUACATE HASS,489.31,493.31,5871.72,12.0,PERMANENTE
2022,ANTIOQUIA,RETIRO,AGUACATE HASS,614.0,624.8,12280.0,20.0,PERMANENTE
2021,ANTIOQUIA,RETIRO,AGUACATE HASS,259.17,261.17,4665.06,18.0,PERMANENTE
2024,ANTIOQUIA,RETIRO,AGUACATE HASS,624.8,627.3,13745.6,22.0,PERMANENTE
2023,ANTIOQUIA,RETIRO,AGUACATE HASS,614.8,624.8,13525.6,22.0,PERMANENTE
2020,ANTIOQUIA,RETIRO,AGUACATE HASS,229.17,259.17,4125.06,18.0,PERMANENTE
2020,ANTIOQUIA,RIONEGRO,AGUACATE HASS,101.43,161.56,1014.3,10.0,PERMANENTE
2022,ANTIOQUIA,RIONEGRO,AGUACATE HASS,39.0,39.0,468.0,12.0,PERMANENTE
2021,ANTIOQUIA,RIONEGRO,AGUACATE HASS,34.0,39.0,340.0,10.0,PERMANENTE
2024,ANTIOQUIA,RIONEGRO,AGUACATE HASS,42.0,45.0,529.2,12.6,PERMANENTE
2023,ANTIOQUIA,RIONEGRO,AGUACATE HASS,39.0,42.0,491.4,12.6,PERMANENTE
2024,ANTIOQUIA,SABANALARGA,AGUACATE HASS,9.0,9.0,45.0,5.0,PERMANENTE
2023,ANTIOQUIA,SABANALARGA,AGUACATE HASS,9.0,9.0,45.0,5.0,PERMANENTE
2022,ANTIOQUIA,SABANALARGA,AGUACATE HASS,9.0,9.0,45.0,5.0,PERMANENTE
2021,ANTIOQUIA,SABANALARGA,AGUACATE HASS,7.0,9.0,49.0,7.0,PERMANENTE
2022,ANTIOQUIA,SALGAR,AGUACATE HASS,133.9,166.9,2008.5,15.0,PERMANENTE
2021,ANTIOQUIA,SALGAR,AGUACATE HASS,143.9,212.9,1870.7,13.0,PERMANENTE
2024,ANTIOQUIA,SALGAR,AGUACATE HASS,90.9,96.9,1363.5,15.0,PERMANENTE
2023,ANTIOQUIA,SALGAR,AGUACATE HASS,67.9,107.9,1018.5,15.0,PERMANENTE
2020,ANTIOQUIA,SALGAR,AGUACATE HASS,129.9,189.9,1688.7,13.0,PERMANENTE
2023,ANTIOQUIA,SAN JERONIMO,AGUACATE HASS,0.0,6.0,0.0,0.0,PERMANENTE
2024,ANTIOQUIA,SAN JERONIMO,AGUACATE HASS,0.0,6.0,0.0,0.0,PERMANENTE
2020,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,95.0,135.5,1140.0,12.0,PERMANENTE
2024,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,146.8,156.3,1174.4,8.0,PERMANENTE
2023,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,147.0,150.0,1176.0,8.0,PERMANENTE
2022,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,98.0,151.5,637.0,6.5,PERMANENTE
2021,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,120.5,155.5,1446.0,12.0,PERMANENTE
