Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2022,ANTIOQUIA,JARDIN,AGUACATE HASS,"102,20","162,20","1.430,80","14,00",PERMANENTE
2021,ANTIOQUIA,JARDIN,AGUACATE HASS,"122,20","182,20","1.710,80","14,00",PERMANENTE
2024,ANTIOQUIA,JARDIN,AGUACATE HASS,"200,20","200,20","2.602,60","13,00",PERMANENTE
2022,ANTIOQUIA,JERICO,AGUACATE HASS,"1.392,00","2.392,00","13.920,00","10,00",PERMANENTE
2021,ANTIOQUIA,JERICO,AGUACATE HASS,"1.312,00","2.392,00","13.120,00","10,00",PERMANENTE
2024,ANTIOQUIA,JERICO,AGUACATE HASS,"2.062,00","2.074,00","22.682,00","11,00",PERMANENTE
2020,ANTIOQUIA,JERICO,AGUACATE HASS,"392,00","2.392,00","3.920,00","10,00",PERMANENTE
2023,ANTIOQUIA,JERICO,AGUACATE HASS,"1.772,00","2.372,00","17.720,00","10,00",PERMANENTE
2024,ANTIOQUIA,LA CEJA,AGUACATE HASS,"733,57","738,57","5.868,56","8,00",PERMANENTE
2022,ANTIOQUIA,LA CEJA,AGUACATE HASS,"708,57","728,57","5.668,56","8,00",PERMANENTE
2021,ANTIOQUIA,LA CEJA,AGUACATE HASS,"395,07","709,07","3.555,63","9,00",PERMANENTE
2020,ANTIOQUIA,LA CEJA,AGUACATE HASS,"382,87","395,07","3.445,83","9,00",PERMANENTE
2023,ANTIOQUIA,LA CEJA,AGUACATE HASS,"708,57","733,57","5.668,56","8,00",PERMANENTE
2020,ANTIOQUIA,LA UNION,AGUACATE HASS,"100,31","110,31","1.805,58","18,00",PERMANENTE
2022,ANTIOQUIA,LA UNION,AGUACATE HASS,"126,12","175,31","2.308,00","18,30",PERMANENTE
2023,ANTIOQUIA,LA UNION,AGUACATE HASS,"150,31","204,91","2.750,67","18,30",PERMANENTE
2024,ANTIOQUIA,LA UNION,AGUACATE HASS,"175,31","215,91","3.225,70","18,40",PERMANENTE
2021,ANTIOQUIA,LA UNION,AGUACATE HASS,"100,31","150,31","1.805,58","18,00",PERMANENTE
2020,ANTIOQUIA,LIBORINA,AGUACATE HASS,"20,20","63,00","101,00","5,00",PERMANENTE
2022,ANTIOQUIA,LIBORINA,AGUACATE HASS,"64,00","74,00","256,00","4,00",PERMANENTE
2023,ANTIOQUIA,LIBORINA,AGUACATE HASS,"67,00","87,00","268,00","4,00",PERMANENTE
2024,ANTIOQUIA,LIBORINA,AGUACATE HASS,"66,00","86,00","264,00","4,00",PERMANENTE
2021,ANTIOQUIA,LIBORINA,AGUACATE HASS,"58,00","71,00","290,00","5,00",PERMANENTE
2022,ANTIOQUIA,MARINILLA,AGUACATE HASS,"285,00","285,00","2.850,00","10,00",PERMANENTE
2021,ANTIOQUIA,MARINILLA,AGUACATE HASS,"200,00","285,00","1.600,00","8,00",PERMANENTE
2024,ANTIOQUIA,MARINILLA,AGUACATE HASS,"281,00","319,00","2.810,00","10,00",PERMANENTE
2023,ANTIOQUIA,MARINILLA,AGUACATE HASS,"283,00","303,00","2.830,00","10,00",PERMANENTE
2020,ANTIOQUIA,MARINILLA,AGUACATE HASS,"220,70","235,70","1.765,60","8,00",PERMANENTE
2022,ANTIOQUIA,MEDELLIN,AGUACATE HASS,"15,00","15,00","90,00","6,00",PERMANENTE
2020,ANTIOQUIA,MEDELLIN,AGUACATE HASS,"15,48","15,48","92,88","6,00",PERMANENTE
2021,ANTIOQUIA,MEDELLIN,AGUACATE HASS,"15,00","15,00","90,00","6,00",PERMANENTE
2024,ANTIOQUIA,MEDELLIN,AGUACATE HASS,"10,00","10,00","120,00","12,00",PERMANENTE
